
BA13,IO_L6P_T0U_N10_AD6P_66,I/O,BANK_66
BA14,VCCO_66,Power,BANK_66
BA15,IO_L4P_T0U_N6_DBC_AD7P_66,I/O,BANK_66
BA16,IO_L2P_T0L_N2_66,I/O,BANK_66
BA17,IO_L1N_T0L_N1_DBC_66,I/O,BANK_66
BB10,IO_L9N_T1L_N5_AD12N_66,I/O,BANK_66
BB11,IO_L8N_T1L_N3_AD5N_66,I/O,BANK_66
BB13,IO_L6N_T0U_N11_AD6N_66,I/O,BANK_66
BB14,IO_T1U_N12_66,I/O,BANK_66
BB15,IO_L4N_T0U_N7_DBC_AD7N_66,I/O,BANK_66
BB16,IO_L2N_T0L_N3_66,I/O,BANK_66
AH14,VREF_67,Power,BANK_67
AJ14,IO_L24P_T3U_N10_67,I/O,BANK_67
AJ15,IO_L20P_T3L_N2_AD1P_67,I/O,BANK_67
AK14,IO_L24N_T3U_N11_67,I/O,BANK_67
AK15,IO_L20N_T3L_N3_AD1N_67,I/O,BANK_67
AL14,IO_L21P_T3L_N4_AD8P_67,I/O,BANK_67
AL15,IO_L19P_T3L_N0_DBC_AD9P_67,I/O,BANK_67
AM10,IO_L18P_T2U_N10_AD2P_67,I/O,BANK_67
AM11,IO_L17P_T2U_N8_AD10P_67,I/O,BANK_67
AM13,IO_L23P_T3U_N8_67,I/O,BANK_67
AM14,IO_L21N_T3L_N5_AD8N_67,I/O,BANK_67
AM15,IO_L19N_T3L_N1_DBC_AD9N_67,I/O,BANK_67
AN10,IO_L18N_T2U_N11_AD2N_67,I/O,BANK_67
AN11,IO_L17N_T2U_N9_AD10N_67,I/O,BANK_67
AN12,IO_L16P_T2U_N6_QBC_AD3P_67,I/O,BANK_67
AN13,IO_L23N_T3U_N9_67,I/O,BANK_67
AN14,IO_L22P_T3U_N6_DBC_AD0P_67,I/O,BANK_67
AP10,IO_L14P_T2L_N2_GC_67,I/O,BANK_67
AP11,IO_T2U_N12_67,I/O,BANK_67
AP12,IO_L16N_T2U_N7_QBC_AD3N_67,I/O,BANK_67
AP13,VCCO_67,Power,BANK_67
AP14,IO_L22N_T3U_N7_DBC_AD0N_67,I/O,BANK_67
AP15,IO_T3U_N12_67,I/O,BANK_67
AR10,IO_L14N_T2L_N3_GC_67,I/O,BANK_67
AR12,IO_L13N_T2L_N1_GC_QBC_67,I/O,BANK_67
AR13,IO_L13P_T2L_N0_GC_QBC_67,I/O,BANK_67
AR14,IO_L15N_T2L_N5_AD11N_67,I/O,BANK_67
AR15,IO_L15P_T2L_N4_AD11P_67,I/O,BANK_67
AT10,IO_L12N_T1U_N11_GC_67,I/O,BANK_67
AT11,IO_L12P_T1U_N10_GC_67,I/O,BANK_67
AT12,IO_L11N_T1U_N9_GC_67,I/O,BANK_67
AT13,IO_L11P_T1U_N8_GC_67,I/O,BANK_67
AU10,IO_T1U_N12_67,I/O,BANK_67
AU11,IO_L8P_T1L_N2_AD5P_67,I/O,BANK_67
AU12,VCCO_67,Power,BANK_67
AV11,IO_L8N_T1L_N3_AD5N_67,I/O,BANK_67
AV12,IO_L7P_T1L_N0_QBC_AD13P_67,I/O,BANK_67
AV8,IO_L10N_T1U_N7_QBC_AD4N_67,I/O,BANK_67
AV9,IO_L10P_T1U_N6_QBC_AD4P_67,I/O,BANK_67
AW10,IO_L9N_T1L_N5_AD12N_67,I/O,BANK_67
AW11,IO_L9P_T1L_N4_AD12P_67,I/O,BANK_67
AW12,IO_L7N_T1L_N1_QBC_AD13N_67,I/O,BANK_67
AW8,IO_L3P_T0L_N4_AD15P_67,I/O,BANK_67
AW9,IO_L1P_T0L_N0_DBC_67,I/O,BANK_67
AY10,IO_T0U_N12_VRP_67,I/O,BANK_67
AY11,VCCO_67,Power,BANK_67
AY8,IO_L3N_T0L_N5_AD15N_67,I/O,BANK_67
AY9,IO_L1N_T0L_N1_DBC_67,I/O,BANK_67
BA6,IO_L5P_T0U_N8_AD14P_67,I/O,BANK_67
BA7,IO_L4N_T0U_N7_DBC_AD7N_67,I/O,BANK_67
BA8,IO_L4P_T0U_N6_DBC_AD7P_67,I/O,BANK_67
BB4,IO_L6N_T0U_N11_AD6N_67,I/O,BANK_67
BB5,IO_L6P_T0U_N10_AD6P_67,I/O,BANK_67
BB6,IO_L5N_T0U_N9_AD14N_67,I/O,BANK_67
BB8,IO_L2N_T0L_N3_67,I/O,BANK_67
BB9,IO_L2P_T0L_N2_67,I/O,BANK_67
A12,IO_L16N_T2U_N7_QBC_AD3N_68,I/O,BANK_68
A13,IO_L17N_T2U_N9_AD10N_68,I/O,BANK_68
A14,IO_L17P_T2U_N8_AD10P_68,I/O,BANK_68
A15,IO_T3U_N12_68,I/O,BANK_68
A17,IO_L22N_T3U_N7_DBC_AD0N_68,I/O,BANK_68
A18,IO_L24N_T3U_N11_68,I/O,BANK_68
B13,IO_L16P_T2U_N6_QBC_AD3P_68,I/O,BANK_68
B15,IO_L18N_T2U_N11_AD2N_68,I/O,BANK_68
B16,IO_L20N_T3L_N3_AD1N_68,I/O,BANK_68
B17,IO_L22P_T3U_N6_DBC_AD0P_68,I/O,BANK_68
B18,IO_L24P_T3U_N10_68,I/O,BANK_68
C13,IO_L15N_T2L_N5_AD11N_68,I/O,BANK_68
C14,IO_T2U_N12_68,I/O,BANK_68
C15,IO_L18P_T2U_N10_AD2P_68,I/O,BANK_68
C16,IO_L20P_T3L_N2_AD1P_68,I/O,BANK_68
C17,VCCO_68,Power,BANK_68
C18,IO_L23N_T3U_N9_68,I/O,BANK_68
D13,IO_L15P_T2L_N4_AD11P_68,I/O,BANK_68
D14,IO_L14N_T2L_N3_GC_68,I/O,BANK_68
D16,IO_L19N_T3L_N1_DBC_AD9N_68,I/O,BANK_68
D17,IO_L21N_T3L_N5_AD8N_68,I/O,BANK_68
D18,IO_L23P_T3U_N8_68,I/O,BANK_68
E14,IO_L13N_T2L_N1_GC_QBC_68,I/O,BANK_68
E15,IO_L14P_T2L_N2_GC_68,I/O,BANK_68
E16,IO_L19P_T3L_N0_DBC_AD9P_68,I/O,BANK_68
E17,IO_L21P_T3L_N4_AD8P_68,I/O,BANK_68
F14,IO_L13P_T2L_N0_GC_QBC_68,I/O,BANK_68
F15,IO_L12N_T1U_N11_GC_68,I/O,BANK_68
